Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.3402	32.858	0.030434	-0.0081142	-0.0039814	-1.2276	9.9181	16.811	196.38	-0.14851	3.4132	0.018882	liquid
4.5000	1.3402	29.839	0.033513	0.0017254	0.0062764	1.1785	10.393	26.339	166.11	0.065712	3.0330	0.018847	liquid
4.5579	1.3402	29.315	0.034112	0.0032419	0.0078743	1.5313	10.452	29.006	161.03	0.10805	2.9751	0.018794	liquid
4.5579	1.3402	5.7562	0.17373	0.058126	0.081718	17.733	12.675	46.375	100.83	1.8558	1.4010	0.010292	vapor
5.0000	1.3402	4.4606	0.22419	0.067803	0.098247	21.203	12.611	32.300	114.25	1.5150	1.4584	0.010712	vapor
5.5000	1.3402	3.7103	0.26952	0.076531	0.11313	24.044	12.520	27.901	125.31	1.2895	1.5421	0.011356	vapor
6.0000	1.3402	3.2240	0.31018	0.084394	0.12652	26.374	12.467	25.849	134.45	1.1311	1.6291	0.012025	vapor
6.5000	1.3402	2.8706	0.34836	0.091813	0.13912	28.392	12.442	24.659	142.46	1.0097	1.7162	0.012699	vapor
7.0000	1.3402	2.5975	0.38499	0.098963	0.15124	30.190	12.433	23.887	149.71	0.91231	1.8022	0.013371	vapor
7.5000	1.3402	2.3779	0.42055	0.10594	0.16305	31.818	12.433	23.350	156.40	0.83165	1.8868	0.014028	vapor
8.0000	1.3402	2.1962	0.45533	0.11278	0.17462	33.312	12.438	22.956	162.66	0.76331	1.9697	0.014667	vapor
8.5000	1.3402	2.0428	0.48952	0.11954	0.18602	34.694	12.444	22.656	168.57	0.70440	2.0511	0.015284	vapor
9.0000	1.3402	1.9111	0.52325	0.12623	0.19728	35.983	12.451	22.420	174.19	0.65290	2.1310	0.015882	vapor
9.5000	1.3402	1.7966	0.55660	0.13286	0.20844	37.189	12.457	22.230	179.57	0.60737	2.2093	0.016461	vapor
10.000	1.3402	1.6959	0.58965	0.13945	0.21952	38.326	12.464	22.075	184.74	0.56673	2.2861	0.017024	vapor
10.500	1.3402	1.6066	0.62244	0.14600	0.23052	39.399	12.469	21.945	189.72	0.53016	2.3616	0.017572	vapor
11.000	1.3402	1.5267	0.65502	0.15252	0.24147	40.418	12.474	21.835	194.54	0.49705	2.4357	0.018105	vapor
11.500	1.3402	1.4547	0.68741	0.15901	0.25236	41.386	12.478	21.741	199.21	0.46687	2.5085	0.018627	vapor
12.000	1.3402	1.3896	0.71964	0.16549	0.26321	42.310	12.482	21.660	203.75	0.43924	2.5801	0.019136	vapor
12.500	1.3402	1.3303	0.75173	0.17194	0.27402	43.193	12.485	21.589	208.17	0.41383	2.6505	0.019635	vapor
13.000	1.3402	1.2760	0.78370	0.17838	0.28480	44.038	12.488	21.527	212.48	0.39037	2.7198	0.020125	vapor
13.500	1.3402	1.2261	0.81557	0.18480	0.29555	44.849	12.490	21.472	216.69	0.36864	2.7881	0.020605	vapor
14.000	1.3402	1.1802	0.84734	0.19121	0.30628	45.629	12.492	21.423	220.80	0.34844	2.8553	0.021077	vapor
14.500	1.3402	1.1376	0.87902	0.19761	0.31698	46.380	12.493	21.379	224.82	0.32961	2.9215	0.021542	vapor
15.000	1.3402	1.0981	0.91062	0.20399	0.32766	47.105	12.494	21.340	228.77	0.31202	2.9868	0.021999	vapor
15.500	1.3402	1.0614	0.94216	0.21037	0.33832	47.804	12.495	21.304	232.64	0.29554	3.0512	0.022449	vapor
16.000	1.3402	1.0271	0.97364	0.21674	0.34896	48.480	12.496	21.272	236.43	0.28008	3.1148	0.022894	vapor
16.500	1.3402	0.99497	1.0051	0.22310	0.35959	49.134	12.497	21.243	240.16	0.26554	3.1775	0.023332	vapor
17.000	1.3402	0.96485	1.0364	0.22946	0.37020	49.767	12.497	21.216	243.83	0.25184	3.2394	0.023765	vapor
