Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.4763	33.007	0.030297	-0.0083209	-0.0037889	-1.2841	9.8936	16.554	198.83	-0.15663	3.4452	0.018977	liquid
4.5000	1.4763	30.140	0.033178	0.0012103	0.0061734	1.0534	10.357	24.975	170.25	0.041025	3.0785	0.018999	liquid
4.6727	1.4763	28.509	0.035077	0.0058895	0.011137	2.1347	10.533	33.961	154.76	0.17309	2.9020	0.018845	liquid
4.6727	1.4763	6.4687	0.15459	0.057397	0.080522	16.984	12.570	53.007	100.97	1.8186	1.4626	0.010864	vapor
5.0000	1.4763	5.1883	0.19274	0.065481	0.094313	19.842	12.574	35.921	111.84	1.5470	1.4915	0.010993	vapor
5.5000	1.4763	4.2181	0.23708	0.074865	0.11033	22.900	12.504	29.359	123.80	1.3015	1.5666	0.011536	vapor
6.0000	1.4763	3.6288	0.27557	0.083043	0.12427	25.327	12.456	26.691	133.38	1.1359	1.6497	0.012156	vapor
6.5000	1.4763	3.2129	0.31125	0.090655	0.13721	27.401	12.433	25.228	141.67	1.0112	1.7343	0.012804	vapor
7.0000	1.4763	2.8967	0.34522	0.097940	0.14958	29.234	12.425	24.306	149.11	0.91209	1.8185	0.013461	vapor
7.5000	1.4763	2.6451	0.37806	0.10501	0.16157	30.889	12.426	23.676	155.94	0.83048	1.9017	0.014109	vapor
8.0000	1.4763	2.4385	0.41009	0.11194	0.17329	32.401	12.432	23.220	162.30	0.76163	1.9836	0.014741	vapor
8.5000	1.4763	2.2650	0.44150	0.11876	0.18481	33.798	12.439	22.875	168.29	0.70245	2.0641	0.015353	vapor
9.0000	1.4763	2.1167	0.47243	0.12550	0.19617	35.098	12.447	22.607	173.98	0.65083	2.1431	0.015946	vapor
9.5000	1.4763	1.9881	0.50298	0.13218	0.20742	36.314	12.455	22.392	179.41	0.60527	2.2207	0.016521	vapor
10.000	1.4763	1.8754	0.53322	0.13881	0.21857	37.458	12.462	22.217	184.63	0.56465	2.2970	0.017081	vapor
10.500	1.4763	1.7756	0.56320	0.14540	0.22964	38.538	12.468	22.071	189.65	0.52814	2.3719	0.017625	vapor
11.000	1.4763	1.6865	0.59296	0.15195	0.24065	39.562	12.474	21.948	194.50	0.49510	2.4455	0.018157	vapor
11.500	1.4763	1.6064	0.62253	0.15847	0.25159	40.535	12.478	21.843	199.20	0.46501	2.5179	0.018675	vapor
12.000	1.4763	1.5339	0.65194	0.16497	0.26249	41.463	12.483	21.752	203.76	0.43748	2.5891	0.019183	vapor
12.500	1.4763	1.4680	0.68121	0.17145	0.27335	42.349	12.486	21.673	208.20	0.41216	2.6591	0.019680	vapor
13.000	1.4763	1.4077	0.71036	0.17791	0.28417	43.198	12.489	21.604	212.53	0.38879	2.7281	0.020167	vapor
13.500	1.4763	1.3524	0.73940	0.18435	0.29495	44.012	12.491	21.543	216.75	0.36715	2.7961	0.020646	vapor
14.000	1.4763	1.3015	0.76835	0.19078	0.30571	44.795	12.493	21.489	220.88	0.34703	2.8630	0.021117	vapor
14.500	1.4763	1.2544	0.79721	0.19719	0.31644	45.548	12.495	21.440	224.91	0.32829	2.9290	0.021580	vapor
15.000	1.4763	1.2107	0.82599	0.20359	0.32715	46.274	12.497	21.397	228.87	0.31078	2.9941	0.022036	vapor
15.500	1.4763	1.1700	0.85470	0.20999	0.33784	46.975	12.498	21.357	232.75	0.29437	3.0582	0.022485	vapor
16.000	1.4763	1.1320	0.88336	0.21637	0.34851	47.652	12.499	21.321	236.55	0.27898	3.1216	0.022928	vapor
16.500	1.4763	1.0965	0.91195	0.22274	0.35916	48.308	12.499	21.289	240.29	0.26450	3.1841	0.023366	vapor
17.000	1.4763	1.0633	0.94050	0.22911	0.36980	48.943	12.500	21.259	243.96	0.25087	3.2458	0.023798	vapor
17.500	1.4763	1.0320	0.96900	0.23547	0.38042	49.559	12.500	21.232	247.57	0.23800	3.3068	0.024225	vapor
18.000	1.4763	1.0026	0.99746	0.24182	0.39103	50.157	12.500	21.207	251.13	0.22583	3.3671	0.024647	vapor
18.500	1.4763	0.97478	1.0259	0.24817	0.40163	50.738	12.501	21.185	254.63	0.21431	3.4266	0.025065	vapor
19.000	1.4763	0.94854	1.0543	0.25451	0.41222	51.302	12.501	21.164	258.07	0.20340	3.4855	0.025478	vapor
19.500	1.4763	0.92370	1.0826	0.26085	0.42279	51.852	12.501	21.144	261.47	0.19303	3.5437	0.025887	vapor
20.000	1.4763	0.90015	1.1109	0.26718	0.43336	52.387	12.501	21.126	264.82	0.18319	3.6013	0.026292	vapor
20.500	1.4763	0.87780	1.1392	0.27351	0.44392	52.908	12.501	21.109	268.13	0.17382	3.6583	0.026694	vapor
21.000	1.4763	0.85655	1.1675	0.27983	0.45447	53.417	12.500	21.094	271.39	0.16489	3.7147	0.027092	vapor
21.500	1.4763	0.83632	1.1957	0.28615	0.46501	53.913	12.500	21.079	274.61	0.15639	3.7705	0.027487	vapor
22.000	1.4763	0.81704	1.2239	0.29246	0.47555	54.397	12.500	21.065	277.79	0.14826	3.8258	0.027878	vapor
22.500	1.4763	0.79864	1.2521	0.29878	0.48608	54.871	12.500	21.053	280.93	0.14051	3.8806	0.028266	vapor
23.000	1.4763	0.78107	1.2803	0.30508	0.49660	55.333	12.499	21.041	284.03	0.13309	3.9348	0.028651	vapor
23.500	1.4763	0.76426	1.3085	0.31139	0.50712	55.786	12.499	21.030	287.10	0.12599	3.9885	0.029034	vapor
24.000	1.4763	0.74817	1.3366	0.31769	0.51763	56.228	12.499	21.019	290.14	0.11919	4.0418	0.029413	vapor
24.500	1.4763	0.73275	1.3647	0.32399	0.52814	56.661	12.499	21.010	293.14	0.11268	4.0945	0.029790	vapor
25.000	1.4763	0.71796	1.3928	0.33029	0.53864	57.086	12.498	21.000	296.11	0.10643	4.1468	0.030165	vapor
25.500	1.4763	0.70377	1.4209	0.33659	0.54914	57.502	12.498	20.992	299.04	0.10043	4.1987	0.030537	vapor
26.000	1.4763	0.69013	1.4490	0.34288	0.55963	57.909	12.498	20.983	301.95	0.094669	4.2501	0.030906	vapor
26.500	1.4763	0.67701	1.4771	0.34917	0.57012	58.309	12.497	20.976	304.83	0.089130	4.3011	0.031273	vapor
27.000	1.4763	0.66439	1.5051	0.35546	0.58061	58.701	12.497	20.968	307.68	0.083804	4.3518	0.031638	vapor
27.500	1.4763	0.65224	1.5332	0.36175	0.59109	59.085	12.496	20.961	310.50	0.078677	4.4020	0.032001	vapor
28.000	1.4763	0.64053	1.5612	0.36803	0.60157	59.463	12.496	20.955	313.30	0.073741	4.4518	0.032361	vapor
28.500	1.4763	0.62923	1.5892	0.37432	0.61205	59.834	12.496	20.949	316.07	0.068985	4.5012	0.032720	vapor
29.000	1.4763	0.61833	1.6173	0.38060	0.62252	60.198	12.495	20.943	318.82	0.064400	4.5503	0.033076	vapor
29.500	1.4763	0.60780	1.6453	0.38688	0.63299	60.556	12.495	20.937	321.54	0.059978	4.5990	0.033431	vapor
30.000	1.4763	0.59763	1.6733	0.39316	0.64346	60.908	12.495	20.932	324.24	0.055711	4.6474	0.033783	vapor
30.500	1.4763	0.58780	1.7013	0.39943	0.65392	61.254	12.494	20.927	326.91	0.051590	4.6954	0.034134	vapor
31.000	1.4763	0.57829	1.7292	0.40571	0.66438	61.594	12.494	20.922	329.56	0.047611	4.7431	0.034483	vapor
31.500	1.4763	0.56908	1.7572	0.41198	0.67484	61.929	12.494	20.917	332.19	0.043764	4.7905	0.034830	vapor
32.000	1.4763	0.56017	1.7852	0.41826	0.68530	62.258	12.493	20.913	334.80	0.040046	4.8376	0.035176	vapor
32.500	1.4763	0.55153	1.8131	0.42453	0.69576	62.582	12.493	20.909	337.39	0.036449	4.8843	0.035520	vapor
33.000	1.4763	0.54315	1.8411	0.43080	0.70621	62.902	12.493	20.905	339.96	0.032968	4.9308	0.035862	vapor
33.500	1.4763	0.53503	1.8690	0.43707	0.71666	63.216	12.492	20.901	342.51	0.029599	4.9769	0.036202	vapor
