Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
34.000	1.4763	0.52715	1.8970	0.44334	0.72711	63.526	12.492	20.897	345.04	0.026336	5.0228	0.036541	vapor
34.500	1.4763	0.51950	1.9249	0.44961	0.73756	63.831	12.492	20.894	347.55	0.023174	5.0684	0.036879	vapor
35.000	1.4763	0.51207	1.9529	0.45588	0.74800	64.131	12.492	20.890	350.04	0.020110	5.1137	0.037215	vapor
35.500	1.4763	0.50485	1.9808	0.46214	0.75845	64.428	12.491	20.887	352.51	0.017140	5.1587	0.037550	vapor
36.000	1.4763	0.49783	2.0087	0.46841	0.76889	64.720	12.491	20.884	354.97	0.014259	5.2035	0.037883	vapor
36.500	1.4763	0.49101	2.0366	0.47467	0.77933	65.008	12.491	20.881	357.41	0.011463	5.2480	0.038215	vapor
37.000	1.4763	0.48437	2.0646	0.48094	0.78977	65.292	12.490	20.878	359.83	0.0087503	5.2923	0.038545	vapor
37.500	1.4763	0.47791	2.0925	0.48720	0.80021	65.572	12.490	20.875	362.24	0.0061164	5.3363	0.038874	vapor
38.000	1.4763	0.47162	2.1204	0.49346	0.81065	65.848	12.490	20.873	364.62	0.0035583	5.3801	0.039202	vapor
38.500	1.4763	0.46549	2.1483	0.49973	0.82108	66.121	12.490	20.870	367.00	0.0010733	5.4237	0.039528	vapor
39.000	1.4763	0.45952	2.1762	0.50599	0.83152	66.391	12.489	20.868	369.36	-0.0013416	5.4670	0.039854	vapor
39.500	1.4763	0.45371	2.2041	0.51225	0.84195	66.656	12.489	20.866	371.70	-0.0036891	5.5101	0.040177	vapor
40.000	1.4763	0.44804	2.2320	0.51851	0.85238	66.919	12.489	20.863	374.03	-0.0059716	5.5530	0.040500	vapor
40.500	1.4763	0.44251	2.2598	0.52477	0.86281	67.178	12.489	20.861	376.34	-0.0081915	5.5956	0.040822	vapor
41.000	1.4763	0.43711	2.2877	0.53103	0.87324	67.434	12.488	20.859	378.64	-0.010351	5.6381	0.041142	vapor
41.500	1.4763	0.43185	2.3156	0.53728	0.88367	67.687	12.488	20.857	380.92	-0.012453	5.6803	0.041461	vapor
42.000	1.4763	0.42671	2.3435	0.54354	0.89410	67.937	12.488	20.855	383.19	-0.014499	5.7223	0.041779	vapor
42.500	1.4763	0.42170	2.3714	0.54980	0.90453	68.183	12.488	20.853	385.45	-0.016491	5.7642	0.042096	vapor
43.000	1.4763	0.41680	2.3993	0.55606	0.91496	68.427	12.488	20.852	387.69	-0.018431	5.8058	0.042412	vapor
43.500	1.4763	0.41201	2.4271	0.56231	0.92538	68.668	12.487	20.850	389.92	-0.020320	5.8472	0.042727	vapor
44.000	1.4763	0.40733	2.4550	0.56857	0.93581	68.907	12.487	20.848	392.14	-0.022162	5.8885	0.043041	vapor
44.500	1.4763	0.40276	2.4829	0.57482	0.94623	69.142	12.487	20.847	394.35	-0.023956	5.9295	0.043353	vapor
45.000	1.4763	0.39829	2.5107	0.58108	0.95665	69.375	12.487	20.845	396.54	-0.025705	5.9704	0.043665	vapor
45.500	1.4763	0.39392	2.5386	0.58733	0.96707	69.605	12.487	20.844	398.72	-0.027411	6.0111	0.043975	vapor
46.000	1.4763	0.38964	2.5665	0.59358	0.97750	69.833	12.486	20.842	400.89	-0.029074	6.0516	0.044285	vapor
46.500	1.4763	0.38546	2.5943	0.59984	0.98792	70.059	12.486	20.841	403.05	-0.030696	6.0920	0.044594	vapor
47.000	1.4763	0.38136	2.6222	0.60609	0.99834	70.281	12.486	20.840	405.19	-0.032279	6.1321	0.044901	vapor
47.500	1.4763	0.37736	2.6500	0.61234	1.0088	70.502	12.486	20.838	407.32	-0.033824	6.1721	0.045208	vapor
48.000	1.4763	0.37343	2.6779	0.61860	1.0192	70.720	12.486	20.837	409.45	-0.035331	6.2120	0.045514	vapor
48.500	1.4763	0.36959	2.7057	0.62485	1.0296	70.936	12.485	20.836	411.56	-0.036803	6.2517	0.045819	vapor
49.000	1.4763	0.36582	2.7336	0.63110	1.0400	71.150	12.485	20.835	413.66	-0.038240	6.2912	0.046122	vapor
49.500	1.4763	0.36213	2.7614	0.63735	1.0504	71.361	12.485	20.833	415.75	-0.039644	6.3305	0.046425	vapor
50.000	1.4763	0.35852	2.7893	0.64360	1.0608	71.571	12.485	20.832	417.83	-0.041015	6.3697	0.046728	vapor
50.500	1.4763	0.35497	2.8171	0.64985	1.0713	71.778	12.485	20.831	419.90	-0.042354	6.4088	0.047029	vapor
51.000	1.4763	0.35150	2.8450	0.65610	1.0817	71.983	12.485	20.830	421.95	-0.043663	6.4477	0.047329	vapor
51.500	1.4763	0.34809	2.8728	0.66235	1.0921	72.186	12.484	20.829	424.00	-0.044942	6.4865	0.047629	vapor
52.000	1.4763	0.34475	2.9006	0.66860	1.1025	72.388	12.484	20.828	426.04	-0.046192	6.5251	0.047927	vapor
52.500	1.4763	0.34147	2.9285	0.67485	1.1129	72.587	12.484	20.827	428.07	-0.047414	6.5636	0.048225	vapor
53.000	1.4763	0.33826	2.9563	0.68110	1.1233	72.784	12.484	20.826	430.09	-0.048609	6.6019	0.048522	vapor
53.500	1.4763	0.33510	2.9842	0.68735	1.1337	72.980	12.484	20.825	432.10	-0.049778	6.6401	0.048818	vapor
54.000	1.4763	0.33201	3.0120	0.69360	1.1442	73.174	12.484	20.825	434.10	-0.050921	6.6781	0.049114	vapor
54.500	1.4763	0.32897	3.0398	0.69985	1.1546	73.366	12.484	20.824	436.09	-0.052039	6.7161	0.049408	vapor
55.000	1.4763	0.32598	3.0677	0.70609	1.1650	73.556	12.483	20.823	438.07	-0.053133	6.7539	0.049702	vapor
55.500	1.4763	0.32305	3.0955	0.71234	1.1754	73.744	12.483	20.822	440.04	-0.054204	6.7915	0.049995	vapor
56.000	1.4763	0.32017	3.1233	0.71859	1.1858	73.931	12.483	20.821	442.01	-0.055251	6.8291	0.050288	vapor
56.500	1.4763	0.31734	3.1512	0.72484	1.1962	74.116	12.483	20.821	443.96	-0.056277	6.8665	0.050579	vapor
57.000	1.4763	0.31457	3.1790	0.73108	1.2066	74.299	12.483	20.820	445.91	-0.057281	6.9038	0.050870	vapor
57.500	1.4763	0.31184	3.2068	0.73733	1.2170	74.481	12.483	20.819	447.85	-0.058264	6.9409	0.051160	vapor
58.000	1.4763	0.30915	3.2346	0.74358	1.2274	74.662	12.483	20.818	449.78	-0.059227	6.9780	0.051449	vapor
58.500	1.4763	0.30652	3.2625	0.74982	1.2379	74.840	12.482	20.818	451.70	-0.060169	7.0149	0.051738	vapor
59.000	1.4763	0.30392	3.2903	0.75607	1.2483	75.017	12.482	20.817	453.61	-0.061093	7.0517	0.052026	vapor
59.500	1.4763	0.30138	3.3181	0.76232	1.2587	75.193	12.482	20.816	455.52	-0.061998	7.0884	0.052313	vapor
60.000	1.4763	0.29887	3.3459	0.76856	1.2691	75.367	12.482	20.816	457.41	-0.062884	7.1250	0.052599	vapor
60.500	1.4763	0.29641	3.3738	0.77481	1.2795	75.540	12.482	20.815	459.30	-0.063752	7.1615	0.052885	vapor
61.000	1.4763	0.29398	3.4016	0.78105	1.2899	75.711	12.482	20.815	461.18	-0.064603	7.1978	0.053170	vapor
61.500	1.4763	0.29160	3.4294	0.78730	1.3003	75.881	12.482	20.814	463.06	-0.065438	7.2341	0.053455	vapor
62.000	1.4763	0.28925	3.4572	0.79355	1.3107	76.050	12.482	20.813	464.92	-0.066255	7.2702	0.053739	vapor
62.500	1.4763	0.28694	3.4850	0.79979	1.3211	76.217	12.482	20.813	466.78	-0.067057	7.3063	0.054022	vapor
63.000	1.4763	0.28467	3.5129	0.80604	1.3315	76.383	12.481	20.812	468.63	-0.067843	7.3422	0.054304	vapor
63.500	1.4763	0.28243	3.5407	0.81228	1.3419	76.547	12.481	20.812	470.48	-0.068613	7.3780	0.054586	vapor
64.000	1.4763	0.28023	3.5685	0.81852	1.3523	76.711	12.481	20.811	472.31	-0.069369	7.4138	0.054867	vapor
64.500	1.4763	0.27806	3.5963	0.82477	1.3627	76.872	12.481	20.811	474.14	-0.070110	7.4494	0.055148	vapor
65.000	1.4763	0.27593	3.6241	0.83101	1.3731	77.033	12.481	20.810	475.96	-0.070837	7.4849	0.055428	vapor
65.500	1.4763	0.27383	3.6519	0.83726	1.3835	77.193	12.481	20.810	477.78	-0.071550	7.5204	0.055707	vapor
66.000	1.4763	0.27176	3.6798	0.84350	1.3940	77.351	12.481	20.809	479.59	-0.072250	7.5557	0.055986	vapor
66.500	1.4763	0.26972	3.7076	0.84975	1.4044	77.508	12.481	20.809	481.39	-0.072937	7.5909	0.056264	vapor
67.000	1.4763	0.26771	3.7354	0.85599	1.4148	77.664	12.481	20.809	483.19	-0.073610	7.6261	0.056541	vapor
67.500	1.4763	0.26573	3.7632	0.86223	1.4252	77.819	12.481	20.808	484.97	-0.074271	7.6611	0.056818	vapor
68.000	1.4763	0.26378	3.7910	0.86848	1.4356	77.972	12.481	20.808	486.76	-0.074920	7.6961	0.057094	vapor
68.500	1.4763	0.26186	3.8188	0.87472	1.4460	78.125	12.480	20.807	488.53	-0.075557	7.7310	0.057370	vapor
69.000	1.4763	0.25997	3.8466	0.88096	1.4564	78.276	12.480	20.807	490.30	-0.076182	7.7658	0.057645	vapor
69.500	1.4763	0.25810	3.8744	0.88721	1.4668	78.426	12.480	20.807	492.06	-0.076796	7.8005	0.057920	vapor
70.000	1.4763	0.25626	3.9023	0.89345	1.4772	78.575	12.480	20.806	493.82	-0.077399	7.8351	0.058194	vapor
70.500	1.4763	0.25445	3.9301	0.89969	1.4876	78.723	12.480	20.806	495.57	-0.077991	7.8696	0.058467	vapor
71.000	1.4763	0.25266	3.9579	0.90594	1.4980	78.870	12.480	20.805	497.31	-0.078572	7.9040	0.058740	vapor
71.500	1.4763	0.25090	3.9857	0.91218	1.5084	79.016	12.480	20.805	499.05	-0.079142	7.9384	0.059012	vapor
72.000	1.4763	0.24916	4.0135	0.91842	1.5188	79.161	12.480	20.805	500.78	-0.079703	7.9726	0.059284	vapor
72.500	1.4763	0.24744	4.0413	0.92466	1.5292	79.305	12.480	20.804	502.50	-0.080253	8.0068	0.059555	vapor
73.000	1.4763	0.24575	4.0691	0.93091	1.5396	79.448	12.480	20.804	504.22	-0.080794	8.0409	0.059826	vapor
73.500	1.4763	0.24409	4.0969	0.93715	1.5500	79.590	12.480	20.804	505.94	-0.081326	8.0750	0.060096	vapor
74.000	1.4763	0.24244	4.1247	0.94339	1.5604	79.731	12.480	20.803	507.65	-0.081848	8.1089	0.060366	vapor
74.500	1.4763	0.24082	4.1525	0.94963	1.5708	79.871	12.479	20.803	509.35	-0.082361	8.1428	0.060635	vapor
75.000	1.4763	0.23922	4.1803	0.95587	1.5812	80.011	12.479	20.803	511.04	-0.082865	8.1766	0.060904	vapor
75.500	1.4763	0.23763	4.2081	0.96212	1.5916	80.149	12.479	20.803	512.74	-0.083360	8.2103	0.061172	vapor
76.000	1.4763	0.23607	4.2359	0.96836	1.6020	80.286	12.479	20.802	514.42	-0.083847	8.2439	0.061439	vapor
76.500	1.4763	0.23454	4.2638	0.97460	1.6124	80.423	12.479	20.802	516.10	-0.084325	8.2775	0.061706	vapor
77.000	1.4763	0.23302	4.2916	0.98084	1.6228	80.558	12.479	20.802	517.77	-0.084796	8.3110	0.061973	vapor
77.500	1.4763	0.23152	4.3194	0.98708	1.6332	80.693	12.479	20.801	519.44	-0.085258	8.3444	0.062239	vapor
78.000	1.4763	0.23003	4.3472	0.99332	1.6436	80.826	12.479	20.801	521.11	-0.085712	8.3778	0.062504	vapor
78.500	1.4763	0.22857	4.3750	0.99957	1.6540	80.959	12.479	20.801	522.76	-0.086159	8.4110	0.062769	vapor
79.000	1.4763	0.22713	4.4028	1.0058	1.6644	81.091	12.479	20.801	524.42	-0.086598	8.4443	0.063034	vapor
79.500	1.4763	0.22570	4.4306	1.0120	1.6748	81.223	12.479	20.800	526.07	-0.087030	8.4774	0.063298	vapor
80.000	1.4763	0.22430	4.4584	1.0183	1.6852	81.353	12.479	20.800	527.71	-0.087455	8.5105	0.063562	vapor
80.500	1.4763	0.22291	4.4862	1.0245	1.6956	81.483	12.479	20.800	529.35	-0.087873	8.5435	0.063825	vapor
81.000	1.4763	0.22153	4.5140	1.0308	1.7060	81.611	12.479	20.800	530.98	-0.088284	8.5764	0.064088	vapor
81.500	1.4763	0.22018	4.5418	1.0370	1.7164	81.739	12.479	20.799	532.60	-0.088688	8.6093	0.064350	vapor
82.000	1.4763	0.21884	4.5696	1.0433	1.7268	81.867	12.478	20.799	534.23	-0.089085	8.6421	0.064612	vapor
82.500	1.4763	0.21751	4.5974	1.0495	1.7372	81.993	12.478	20.799	535.84	-0.089476	8.6748	0.064873	vapor
83.000	1.4763	0.21621	4.6252	1.0557	1.7476	82.119	12.478	20.799	537.46	-0.089861	8.7075	0.065134	vapor
83.500	1.4763	0.21492	4.6530	1.0620	1.7580	82.244	12.478	20.799	539.07	-0.090239	8.7401	0.065394	vapor
84.000	1.4763	0.21364	4.6808	1.0682	1.7684	82.368	12.478	20.798	540.67	-0.090611	8.7726	0.065654	vapor
84.500	1.4763	0.21238	4.7086	1.0745	1.7788	82.491	12.478	20.798	542.27	-0.090977	8.8051	0.065914	vapor
85.000	1.4763	0.21113	4.7364	1.0807	1.7892	82.614	12.478	20.798	543.86	-0.091338	8.8375	0.066173	vapor
85.500	1.4763	0.20990	4.7642	1.0869	1.7996	82.736	12.478	20.798	545.45	-0.091692	8.8699	0.066431	vapor
86.000	1.4763	0.20868	4.7920	1.0932	1.8100	82.857	12.478	20.798	547.03	-0.092041	8.9022	0.066690	vapor
86.500	1.4763	0.20748	4.8198	1.0994	1.8204	82.978	12.478	20.797	548.61	-0.092385	8.9344	0.066947	vapor
87.000	1.4763	0.20629	4.8476	1.1057	1.8308	83.098	12.478	20.797	550.19	-0.092722	8.9666	0.067205	vapor
87.500	1.4763	0.20511	4.8754	1.1119	1.8412	83.217	12.478	20.797	551.76	-0.093055	8.9987	0.067462	vapor
88.000	1.4763	0.20395	4.9032	1.1181	1.8516	83.335	12.478	20.797	553.32	-0.093382	9.0308	0.067718	vapor
88.500	1.4763	0.20280	4.9310	1.1244	1.8620	83.453	12.478	20.797	554.89	-0.093705	9.0628	0.067974	vapor
89.000	1.4763	0.20166	4.9588	1.1306	1.8724	83.570	12.478	20.796	556.44	-0.094022	9.0947	0.068230	vapor
89.500	1.4763	0.20054	4.9866	1.1369	1.8828	83.687	12.478	20.796	558.00	-0.094334	9.1266	0.068485	vapor
90.000	1.4763	0.19943	5.0144	1.1431	1.8932	83.803	12.478	20.796	559.54	-0.094641	9.1584	0.068740	vapor
90.500	1.4763	0.19833	5.0422	1.1493	1.9036	83.918	12.478	20.796	561.09	-0.094944	9.1902	0.068994	vapor
91.000	1.4763	0.19724	5.0700	1.1556	1.9140	84.033	12.478	20.796	562.63	-0.095242	9.2219	0.069248	vapor
91.500	1.4763	0.19616	5.0978	1.1618	1.9244	84.146	12.477	20.796	564.16	-0.095535	9.2536	0.069502	vapor
92.000	1.4763	0.19510	5.1256	1.1681	1.9348	84.260	12.477	20.796	565.70	-0.095824	9.2852	0.069755	vapor
92.500	1.4763	0.19405	5.1534	1.1743	1.9452	84.373	12.477	20.795	567.22	-0.096108	9.3168	0.070008	vapor
93.000	1.4763	0.19301	5.1812	1.1805	1.9556	84.485	12.477	20.795	568.75	-0.096388	9.3483	0.070261	vapor
93.500	1.4763	0.19198	5.2090	1.1868	1.9660	84.596	12.477	20.795	570.27	-0.096664	9.3798	0.070513	vapor
94.000	1.4763	0.19096	5.2368	1.1930	1.9764	84.707	12.477	20.795	571.78	-0.096936	9.4112	0.070764	vapor
94.500	1.4763	0.18995	5.2646	1.1993	1.9868	84.817	12.477	20.795	573.29	-0.097203	9.4425	0.071016	vapor
95.000	1.4763	0.18895	5.2923	1.2055	1.9972	84.927	12.477	20.795	574.80	-0.097466	9.4738	0.071266	vapor
95.500	1.4763	0.18796	5.3201	1.2117	2.0076	85.036	12.477	20.795	576.30	-0.097726	9.5051	0.071517	vapor
96.000	1.4763	0.18699	5.3479	1.2180	2.0180	85.145	12.477	20.794	577.80	-0.097981	9.5363	0.071767	vapor
96.500	1.4763	0.18602	5.3757	1.2242	2.0284	85.253	12.477	20.794	579.30	-0.098233	9.5674	0.072017	vapor
97.000	1.4763	0.18506	5.4035	1.2305	2.0388	85.360	12.477	20.794	580.79	-0.098481	9.5985	0.072266	vapor
97.500	1.4763	0.18412	5.4313	1.2367	2.0492	85.467	12.477	20.794	582.28	-0.098725	9.6296	0.072515	vapor
98.000	1.4763	0.18318	5.4591	1.2429	2.0596	85.574	12.477	20.794	583.76	-0.098966	9.6606	0.072764	vapor
98.500	1.4763	0.18225	5.4869	1.2492	2.0699	85.679	12.477	20.794	585.24	-0.099203	9.6916	0.073012	vapor
99.000	1.4763	0.18133	5.5147	1.2554	2.0803	85.785	12.477	20.794	586.72	-0.099436	9.7225	0.073260	vapor
99.500	1.4763	0.18042	5.5425	1.2616	2.0907	85.889	12.477	20.794	588.19	-0.099666	9.7534	0.073508	vapor
100.00	1.4763	0.17952	5.5703	1.2679	2.1011	85.994	12.477	20.793	589.66	-0.099893	9.7842	0.073755	vapor
100.50	1.4763	0.17863	5.5981	1.2741	2.1115	86.097	12.477	20.793	591.13	-0.10012	9.8051	0.074002	vapor
101.00	1.4763	0.17775	5.6259	1.2804	2.1219	86.201	12.477	20.793	592.59	-0.10034	9.8261	0.074248	vapor
101.50	1.4763	0.17688	5.6537	1.2866	2.1323	86.303	12.477	20.793	594.05	-0.10055	9.8471	0.074494	vapor
102.00	1.4763	0.17601	5.6815	1.2928	2.1427	86.405	12.477	20.793	595.50	-0.10077	9.8680	0.074740	vapor
102.50	1.4763	0.17515	5.7093	1.2991	2.1531	86.507	12.477	20.793	596.95	-0.10098	9.8889	0.074986	vapor
103.00	1.4763	0.17431	5.7371	1.3053	2.1635	86.608	12.477	20.793	598.40	-0.10118	9.9099	0.075231	vapor
103.50	1.4763	0.17346	5.7649	1.3116	2.1739	86.709	12.477	20.793	599.85	-0.10139	9.9308	0.075476	vapor
104.00	1.4763	0.17263	5.7927	1.3178	2.1843	86.809	12.477	20.793	601.29	-0.10159	9.9517	0.075720	vapor
104.50	1.4763	0.17181	5.8204	1.3240	2.1947	86.909	12.476	20.792	602.72	-0.10179	9.9727	0.075964	vapor
105.00	1.4763	0.17099	5.8482	1.3303	2.2051	87.008	12.476	20.792	604.16	-0.10198	9.9936	0.076208	vapor
105.50	1.4763	0.17018	5.8760	1.3365	2.2155	87.107	12.476	20.792	605.59	-0.10218	10.014	0.076451	vapor
106.00	1.4763	0.16938	5.9038	1.3428	2.2259	87.205	12.476	20.792	607.02	-0.10237	10.035	0.076694	vapor
106.50	1.4763	0.16859	5.9316	1.3490	2.2363	87.303	12.476	20.792	608.44	-0.10256	10.056	0.076937	vapor
107.00	1.4763	0.16780	5.9594	1.3552	2.2467	87.401	12.476	20.792	609.86	-0.10274	10.077	0.077180	vapor
107.50	1.4763	0.16702	5.9872	1.3615	2.2571	87.497	12.476	20.792	611.28	-0.10292	10.098	0.077422	vapor
108.00	1.4763	0.16625	6.0150	1.3677	2.2675	87.594	12.476	20.792	612.69	-0.10310	10.119	0.077663	vapor
