Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.5444	33.079	0.030231	-0.0084206	-0.0036900	-1.3116	9.8816	16.434	200.03	-0.16048	3.4610	0.019024	liquid
4.5000	1.5444	30.280	0.033025	0.00097253	0.0061403	0.99533	10.340	24.398	172.21	0.029981	3.1002	0.019071	liquid
4.7273	1.5444	28.082	0.035610	0.0072467	0.012819	2.4408	10.574	37.169	151.58	0.20830	2.8648	0.018876	liquid
4.7273	1.5444	6.8517	0.14595	0.056924	0.079762	16.602	12.518	57.340	101.03	1.7985	1.4940	0.011178	vapor
5.0000	1.5444	5.6000	0.17857	0.064186	0.092130	19.150	12.549	38.425	110.55	1.5644	1.5101	0.011167	vapor
5.5000	1.5444	4.4875	0.22284	0.073990	0.10886	22.345	12.494	30.208	123.02	1.3077	1.5796	0.011636	vapor
6.0000	1.5444	3.8390	0.26049	0.082346	0.12311	24.826	12.449	27.154	132.84	1.1383	1.6604	0.012227	vapor
6.5000	1.5444	3.3886	0.29511	0.090065	0.13624	26.930	12.427	25.531	141.27	1.0120	1.7436	0.012860	vapor
7.0000	1.5444	3.0493	0.32795	0.097421	0.14874	28.783	12.421	24.525	148.81	0.91195	1.8268	0.013508	vapor
7.5000	1.5444	2.7807	0.35962	0.10455	0.16082	30.450	12.423	23.845	155.70	0.82988	1.9093	0.014151	vapor
8.0000	1.5444	2.5611	0.39045	0.11152	0.17262	31.973	12.429	23.355	162.12	0.76077	1.9906	0.014779	vapor
8.5000	1.5444	2.3772	0.42066	0.11837	0.18420	33.377	12.437	22.987	168.16	0.70146	2.0706	0.015388	vapor
9.0000	1.5444	2.2204	0.45038	0.12514	0.19562	34.682	12.445	22.702	173.88	0.64979	2.1492	0.015979	vapor
9.5000	1.5444	2.0846	0.47971	0.13184	0.20691	35.904	12.454	22.474	179.34	0.60421	2.2265	0.016553	vapor
10.000	1.5444	1.9657	0.50873	0.13849	0.21810	37.051	12.461	22.288	184.57	0.56360	2.3024	0.017110	vapor
10.500	1.5444	1.8605	0.53749	0.14509	0.22920	38.135	12.468	22.134	189.61	0.52712	2.3771	0.017653	vapor
11.000	1.5444	1.7667	0.56603	0.15166	0.24024	39.162	12.473	22.004	194.48	0.49412	2.4504	0.018183	vapor
11.500	1.5444	1.6824	0.59438	0.15820	0.25121	40.137	12.478	21.894	199.19	0.46408	2.5226	0.018700	vapor
12.000	1.5444	1.6063	0.62256	0.16471	0.26213	41.067	12.483	21.798	203.76	0.43659	2.5936	0.019207	vapor
12.500	1.5444	1.5370	0.65061	0.17120	0.27301	41.955	12.486	21.716	208.21	0.41132	2.6635	0.019703	vapor
13.000	1.5444	1.4738	0.67854	0.17767	0.28385	42.805	12.490	21.643	212.55	0.38800	2.7323	0.020189	vapor
13.500	1.5444	1.4157	0.70635	0.18412	0.29465	43.621	12.492	21.579	216.78	0.36640	2.8001	0.020667	vapor
14.000	1.5444	1.3623	0.73407	0.19056	0.30543	44.405	12.494	21.522	220.91	0.34633	2.8669	0.021137	vapor
14.500	1.5444	1.3128	0.76171	0.19698	0.31618	45.159	12.496	21.471	224.96	0.32763	2.9327	0.021599	vapor
15.000	1.5444	1.2670	0.78927	0.20339	0.32690	45.886	12.498	21.425	228.92	0.31016	2.9977	0.022055	vapor
15.500	1.5444	1.2244	0.81676	0.20979	0.33760	46.588	12.499	21.384	232.80	0.29379	3.0617	0.022503	vapor
16.000	1.5444	1.1846	0.84419	0.21618	0.34829	47.266	12.500	21.346	236.61	0.27843	3.1250	0.022946	vapor
16.500	1.5444	1.1474	0.87156	0.22257	0.35895	47.923	12.500	21.312	240.35	0.26399	3.1874	0.023383	vapor
17.000	1.5444	1.1125	0.89888	0.22894	0.36960	48.558	12.501	21.281	244.03	0.25038	3.2490	0.023815	vapor
17.500	1.5444	1.0797	0.92615	0.23530	0.38023	49.175	12.501	21.253	247.64	0.23754	3.3099	0.024241	vapor
18.000	1.5444	1.0489	0.95338	0.24166	0.39085	49.773	12.502	21.227	251.20	0.22540	3.3701	0.024663	vapor
18.500	1.5444	1.0198	0.98058	0.24802	0.40146	50.354	12.502	21.203	254.70	0.21391	3.4296	0.025080	vapor
19.000	1.5444	0.99233	1.0077	0.25436	0.41205	50.920	12.502	21.181	258.15	0.20302	3.4884	0.025493	vapor
19.500	1.5444	0.96632	1.0349	0.26070	0.42264	51.470	12.502	21.160	261.55	0.19268	3.5465	0.025902	vapor
20.000	1.5444	0.94166	1.0620	0.26704	0.43322	52.005	12.502	21.142	264.90	0.18285	3.6041	0.026307	vapor
20.500	1.5444	0.91826	1.0890	0.27337	0.44378	52.527	12.502	21.124	268.21	0.17350	3.6610	0.026708	vapor
21.000	1.5444	0.89601	1.1161	0.27970	0.45434	53.036	12.502	21.108	271.47	0.16459	3.7173	0.027106	vapor
21.500	1.5444	0.87484	1.1431	0.28602	0.46489	53.532	12.501	21.092	274.69	0.15610	3.7731	0.027500	vapor
22.000	1.5444	0.85466	1.1701	0.29234	0.47543	54.017	12.501	21.078	277.87	0.14800	3.8283	0.027891	vapor
