Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.500	1.5444	0.83540	1.1970	0.29865	0.48597	54.490	12.501	21.065	281.01	0.14026	3.8830	0.028279	vapor
23.000	1.5444	0.81701	1.2240	0.30496	0.49650	54.953	12.501	21.053	284.12	0.13285	3.9372	0.028664	vapor
23.500	1.5444	0.79941	1.2509	0.31127	0.50702	55.406	12.500	21.041	287.19	0.12577	3.9909	0.029046	vapor
24.000	1.5444	0.78258	1.2778	0.31758	0.51754	55.849	12.500	21.030	290.22	0.11898	4.0441	0.029426	vapor
24.500	1.5444	0.76644	1.3047	0.32388	0.52805	56.282	12.500	21.020	293.23	0.11248	4.0968	0.029802	vapor
25.000	1.5444	0.75097	1.3316	0.33018	0.53856	56.707	12.499	21.010	296.19	0.10624	4.1491	0.030176	vapor
25.500	1.5444	0.73611	1.3585	0.33648	0.54906	57.123	12.499	21.001	299.13	0.10025	4.2009	0.030548	vapor
26.000	1.5444	0.72184	1.3853	0.34278	0.55956	57.531	12.499	20.992	302.04	0.094499	4.2523	0.030917	vapor
26.500	1.5444	0.70812	1.4122	0.34907	0.57005	57.930	12.498	20.984	304.92	0.088969	4.3033	0.031284	vapor
27.000	1.5444	0.69492	1.4390	0.35536	0.58054	58.323	12.498	20.977	307.77	0.083651	4.3539	0.031649	vapor
27.500	1.5444	0.68220	1.4658	0.36165	0.59103	58.707	12.498	20.969	310.59	0.078533	4.4040	0.032011	vapor
28.000	1.5444	0.66995	1.4926	0.36794	0.60151	59.085	12.497	20.962	313.39	0.073604	4.4538	0.032372	vapor
28.500	1.5444	0.65813	1.5194	0.37422	0.61199	59.456	12.497	20.956	316.16	0.068855	4.5032	0.032730	vapor
29.000	1.5444	0.64673	1.5462	0.38051	0.62247	59.821	12.497	20.950	318.91	0.064277	4.5523	0.033086	vapor
29.500	1.5444	0.63572	1.5730	0.38679	0.63294	60.179	12.496	20.944	321.63	0.059861	4.6010	0.033441	vapor
30.000	1.5444	0.62508	1.5998	0.39307	0.64341	60.531	12.496	20.938	324.33	0.055600	4.6493	0.033793	vapor
30.500	1.5444	0.61479	1.6266	0.39935	0.65388	60.877	12.495	20.933	327.00	0.051485	4.6973	0.034144	vapor
31.000	1.5444	0.60484	1.6533	0.40563	0.66435	61.217	12.495	20.928	329.65	0.047511	4.7450	0.034493	vapor
31.500	1.5444	0.59521	1.6801	0.41191	0.67481	61.552	12.495	20.923	332.29	0.043669	4.7923	0.034840	vapor
32.000	1.5444	0.58589	1.7068	0.41818	0.68527	61.881	12.494	20.919	334.89	0.039956	4.8394	0.035185	vapor
32.500	1.5444	0.57685	1.7336	0.42446	0.69573	62.205	12.494	20.914	337.48	0.036363	4.8861	0.035529	vapor
33.000	1.5444	0.56809	1.7603	0.43073	0.70618	62.525	12.494	20.910	340.05	0.032887	4.9325	0.035871	vapor
33.500	1.5444	0.55959	1.7870	0.43700	0.71664	62.839	12.493	20.906	342.60	0.029522	4.9787	0.036212	vapor
34.000	1.5444	0.55135	1.8137	0.44327	0.72709	63.149	12.493	20.902	345.13	0.026262	5.0245	0.036551	vapor
34.500	1.5444	0.54335	1.8404	0.44954	0.73754	63.454	12.493	20.898	347.64	0.023105	5.0701	0.036888	vapor
35.000	1.5444	0.53558	1.8672	0.45581	0.74799	63.755	12.492	20.895	350.13	0.020044	5.1154	0.037224	vapor
35.500	1.5444	0.52802	1.8939	0.46208	0.75843	64.051	12.492	20.892	352.60	0.017077	5.1604	0.037559	vapor
36.000	1.5444	0.52068	1.9206	0.46834	0.76888	64.343	12.492	20.888	355.06	0.014199	5.2052	0.037892	vapor
36.500	1.5444	0.51354	1.9472	0.47461	0.77932	64.631	12.492	20.885	357.50	0.011406	5.2497	0.038223	vapor
37.000	1.5444	0.50660	1.9739	0.48088	0.78976	64.915	12.491	20.882	359.92	0.0086963	5.2939	0.038554	vapor
37.500	1.5444	0.49984	2.0006	0.48714	0.80021	65.196	12.491	20.880	362.32	0.0060650	5.3380	0.038883	vapor
38.000	1.5444	0.49326	2.0273	0.49340	0.81064	65.472	12.491	20.877	364.71	0.0035095	5.3817	0.039210	vapor
38.500	1.5444	0.48686	2.0540	0.49967	0.82108	65.745	12.490	20.874	367.09	0.0010269	5.4253	0.039537	vapor
39.000	1.5444	0.48062	2.0807	0.50593	0.83152	66.014	12.490	20.872	369.44	-0.0013857	5.4686	0.039862	vapor
39.500	1.5444	0.47453	2.1073	0.51219	0.84195	66.280	12.490	20.869	371.79	-0.0037310	5.5117	0.040186	vapor
40.000	1.5444	0.46860	2.1340	0.51845	0.85239	66.543	12.490	20.867	374.11	-0.0060113	5.5545	0.040508	vapor
40.500	1.5444	0.46282	2.1607	0.52471	0.86282	66.802	12.489	20.865	376.43	-0.0082293	5.5972	0.040830	vapor
41.000	1.5444	0.45718	2.1873	0.53097	0.87325	67.058	12.489	20.863	378.72	-0.010387	5.6396	0.041150	vapor
41.500	1.5444	0.45167	2.2140	0.53723	0.88368	67.311	12.489	20.860	381.01	-0.012487	5.6818	0.041469	vapor
42.000	1.5444	0.44630	2.2406	0.54349	0.89411	67.561	12.489	20.858	383.28	-0.014531	5.7238	0.041787	vapor
42.500	1.5444	0.44105	2.2673	0.54975	0.90454	67.808	12.488	20.857	385.54	-0.016521	5.7656	0.042104	vapor
43.000	1.5444	0.43593	2.2939	0.55601	0.91497	68.052	12.488	20.855	387.78	-0.018460	5.8073	0.042420	vapor
43.500	1.5444	0.43092	2.3206	0.56226	0.92540	68.293	12.488	20.853	390.01	-0.020348	5.8487	0.042735	vapor
44.000	1.5444	0.42603	2.3472	0.56852	0.93582	68.531	12.488	20.851	392.23	-0.022188	5.8899	0.043048	vapor
44.500	1.5444	0.42125	2.3739	0.57478	0.94625	68.767	12.488	20.850	394.43	-0.023981	5.9310	0.043361	vapor
45.000	1.5444	0.41658	2.4005	0.58103	0.95667	68.999	12.487	20.848	396.62	-0.025729	5.9718	0.043673	vapor
45.500	1.5444	0.41200	2.4272	0.58729	0.96710	69.230	12.487	20.846	398.80	-0.027433	6.0125	0.043983	vapor
46.000	1.5444	0.40753	2.4538	0.59354	0.97752	69.458	12.487	20.845	400.97	-0.029095	6.0530	0.044293	vapor
46.500	1.5444	0.40316	2.4804	0.59979	0.98794	69.683	12.487	20.843	403.13	-0.030716	6.0933	0.044601	vapor
47.000	1.5444	0.39887	2.5071	0.60605	0.99836	69.906	12.487	20.842	405.27	-0.032298	6.1335	0.044909	vapor
47.500	1.5444	0.39468	2.5337	0.61230	1.0088	70.126	12.486	20.841	407.41	-0.033842	6.1735	0.045216	vapor
48.000	1.5444	0.39058	2.5603	0.61855	1.0192	70.345	12.486	20.839	409.53	-0.035348	6.2133	0.045521	vapor
48.500	1.5444	0.38656	2.5870	0.62481	1.0296	70.561	12.486	20.838	411.64	-0.036819	6.2530	0.045826	vapor
49.000	1.5444	0.38262	2.6136	0.63106	1.0400	70.774	12.486	20.837	413.74	-0.038255	6.2925	0.046130	vapor
49.500	1.5444	0.37876	2.6402	0.63731	1.0505	70.986	12.486	20.836	415.83	-0.039658	6.3319	0.046433	vapor
50.000	1.5444	0.37498	2.6668	0.64356	1.0609	71.195	12.485	20.834	417.91	-0.041028	6.3711	0.046735	vapor
50.500	1.5444	0.37127	2.6934	0.64981	1.0713	71.403	12.485	20.833	419.98	-0.042366	6.4101	0.047036	vapor
51.000	1.5444	0.36764	2.7201	0.65607	1.0817	71.608	12.485	20.832	422.03	-0.043674	6.4490	0.047336	vapor
51.500	1.5444	0.36408	2.7467	0.66232	1.0921	71.811	12.485	20.831	424.08	-0.044952	6.4878	0.047636	vapor
52.000	1.5444	0.36058	2.7733	0.66857	1.1025	72.012	12.485	20.830	426.12	-0.046202	6.5264	0.047935	vapor
52.500	1.5444	0.35715	2.7999	0.67482	1.1130	72.212	12.485	20.829	428.15	-0.047423	6.5648	0.048232	vapor
53.000	1.5444	0.35379	2.8265	0.68107	1.1234	72.409	12.485	20.828	430.17	-0.048618	6.6032	0.048529	vapor
53.500	1.5444	0.35049	2.8531	0.68732	1.1338	72.605	12.484	20.827	432.18	-0.049786	6.6414	0.048825	vapor
54.000	1.5444	0.34725	2.8798	0.69356	1.1442	72.798	12.484	20.826	434.18	-0.050928	6.6794	0.049121	vapor
54.500	1.5444	0.34407	2.9064	0.69981	1.1546	72.990	12.484	20.825	436.17	-0.052046	6.7173	0.049415	vapor
55.000	1.5444	0.34095	2.9330	0.70606	1.1650	73.181	12.484	20.825	438.15	-0.053140	6.7551	0.049709	vapor
55.500	1.5444	0.33789	2.9596	0.71231	1.1754	73.369	12.484	20.824	440.12	-0.054210	6.7928	0.050002	vapor
56.000	1.5444	0.33488	2.9862	0.71856	1.1858	73.556	12.484	20.823	442.09	-0.055257	6.8303	0.050295	vapor
56.500	1.5444	0.33192	3.0128	0.72481	1.1963	73.741	12.484	20.822	444.04	-0.056282	6.8677	0.050586	vapor
57.000	1.5444	0.32901	3.0394	0.73105	1.2067	73.924	12.483	20.821	445.99	-0.057286	6.9050	0.050877	vapor
57.500	1.5444	0.32616	3.0660	0.73730	1.2171	74.106	12.483	20.821	447.92	-0.058268	6.9422	0.051167	vapor
58.000	1.5444	0.32335	3.0926	0.74355	1.2275	74.286	12.483	20.820	449.85	-0.059230	6.9792	0.051456	vapor
58.500	1.5444	0.32059	3.1192	0.74980	1.2379	74.465	12.483	20.819	451.77	-0.060173	7.0161	0.051745	vapor
59.000	1.5444	0.31788	3.1458	0.75604	1.2483	74.642	12.483	20.819	453.69	-0.061096	7.0529	0.052033	vapor
59.500	1.5444	0.31522	3.1724	0.76229	1.2587	74.818	12.483	20.818	455.59	-0.062000	7.0896	0.052320	vapor
60.000	1.5444	0.31260	3.1990	0.76854	1.2691	74.992	12.483	20.817	457.49	-0.062886	7.1262	0.052606	vapor
60.500	1.5444	0.31002	3.2256	0.77478	1.2795	75.165	12.482	20.817	459.38	-0.063754	7.1627	0.052892	vapor
61.000	1.5444	0.30748	3.2522	0.78103	1.2899	75.336	12.482	20.816	461.26	-0.064605	7.1990	0.053177	vapor
61.500	1.5444	0.30499	3.2788	0.78727	1.3004	75.506	12.482	20.815	463.13	-0.065439	7.2353	0.053461	vapor
62.000	1.5444	0.30254	3.3054	0.79352	1.3108	75.675	12.482	20.815	465.00	-0.066256	7.2714	0.053745	vapor
62.500	1.5444	0.30012	3.3320	0.79977	1.3212	75.842	12.482	20.814	466.86	-0.067058	7.3074	0.054028	vapor
63.000	1.5444	0.29775	3.3586	0.80601	1.3316	76.008	12.482	20.814	468.71	-0.067843	7.3434	0.054311	vapor
63.500	1.5444	0.29541	3.3852	0.81226	1.3420	76.172	12.482	20.813	470.55	-0.068613	7.3792	0.054593	vapor
64.000	1.5444	0.29310	3.4118	0.81850	1.3524	76.336	12.482	20.813	472.39	-0.069369	7.4149	0.054874	vapor
64.500	1.5444	0.29084	3.4384	0.82475	1.3628	76.497	12.482	20.812	474.22	-0.070110	7.4505	0.055154	vapor
65.000	1.5444	0.28860	3.4649	0.83099	1.3732	76.658	12.481	20.812	476.04	-0.070837	7.4861	0.055434	vapor
65.500	1.5444	0.28641	3.4915	0.83724	1.3836	76.818	12.481	20.811	477.85	-0.071550	7.5215	0.055713	vapor
66.000	1.5444	0.28424	3.5181	0.84348	1.3940	76.976	12.481	20.811	479.66	-0.072249	7.5568	0.055992	vapor
66.500	1.5444	0.28211	3.5447	0.84972	1.4044	77.133	12.481	20.810	481.46	-0.072935	7.5921	0.056270	vapor
67.000	1.5444	0.28001	3.5713	0.85597	1.4148	77.289	12.481	20.810	483.26	-0.073609	7.6272	0.056548	vapor
67.500	1.5444	0.27794	3.5979	0.86221	1.4252	77.444	12.481	20.809	485.05	-0.074270	7.6622	0.056825	vapor
68.000	1.5444	0.27590	3.6245	0.86846	1.4356	77.597	12.481	20.809	486.83	-0.074919	7.6972	0.057101	vapor
68.500	1.5444	0.27389	3.6511	0.87470	1.4460	77.750	12.481	20.808	488.60	-0.075555	7.7321	0.057377	vapor
69.000	1.5444	0.27191	3.6777	0.88094	1.4564	77.901	12.481	20.808	490.37	-0.076180	7.7669	0.057652	vapor
69.500	1.5444	0.26996	3.7042	0.88719	1.4668	78.051	12.481	20.808	492.13	-0.076794	7.8015	0.057926	vapor
70.000	1.5444	0.26804	3.7308	0.89343	1.4772	78.200	12.481	20.807	493.89	-0.077396	7.8361	0.058200	vapor
70.500	1.5444	0.26614	3.7574	0.89967	1.4876	78.348	12.480	20.807	495.64	-0.077988	7.8707	0.058474	vapor
71.000	1.5444	0.26427	3.7840	0.90592	1.4980	78.495	12.480	20.806	497.38	-0.078569	7.9051	0.058746	vapor
71.500	1.5444	0.26243	3.8106	0.91216	1.5085	78.641	12.480	20.806	499.12	-0.079140	7.9394	0.059019	vapor
72.000	1.5444	0.26061	3.8372	0.91840	1.5189	78.786	12.480	20.806	500.85	-0.079700	7.9737	0.059290	vapor
72.500	1.5444	0.25882	3.8638	0.92465	1.5293	78.930	12.480	20.805	502.57	-0.080250	8.0079	0.059562	vapor
73.000	1.5444	0.25705	3.8903	0.93089	1.5397	79.073	12.480	20.805	504.29	-0.080791	8.0420	0.059832	vapor
73.500	1.5444	0.25530	3.9169	0.93713	1.5501	79.215	12.480	20.805	506.01	-0.081322	8.0760	0.060103	vapor
74.000	1.5444	0.25358	3.9435	0.94337	1.5605	79.356	12.480	20.804	507.71	-0.081844	8.1100	0.060372	vapor
74.500	1.5444	0.25188	3.9701	0.94962	1.5709	79.497	12.480	20.804	509.42	-0.082357	8.1438	0.060641	vapor
75.000	1.5444	0.25021	3.9967	0.95586	1.5813	79.636	12.480	20.804	511.11	-0.082861	8.1776	0.060910	vapor
75.500	1.5444	0.24856	4.0232	0.96210	1.5917	79.774	12.480	20.803	512.80	-0.083356	8.2113	0.061178	vapor
76.000	1.5444	0.24692	4.0498	0.96834	1.6021	79.911	12.480	20.803	514.49	-0.083843	8.2450	0.061445	vapor
76.500	1.5444	0.24531	4.0764	0.97459	1.6125	80.048	12.480	20.803	516.17	-0.084321	8.2785	0.061713	vapor
77.000	1.5444	0.24372	4.1030	0.98083	1.6229	80.183	12.479	20.802	517.84	-0.084792	8.3120	0.061979	vapor
77.500	1.5444	0.24216	4.1296	0.98707	1.6333	80.318	12.479	20.802	519.51	-0.085254	8.3454	0.062245	vapor
78.000	1.5444	0.24061	4.1561	0.99331	1.6437	80.452	12.479	20.802	521.17	-0.085708	8.3788	0.062511	vapor
78.500	1.5444	0.23908	4.1827	0.99955	1.6541	80.585	12.479	20.802	522.83	-0.086155	8.4121	0.062776	vapor
79.000	1.5444	0.23757	4.2093	1.0058	1.6645	80.717	12.479	20.801	524.48	-0.086594	8.4453	0.063040	vapor
79.500	1.5444	0.23608	4.2359	1.0120	1.6749	80.848	12.479	20.801	526.13	-0.087026	8.4784	0.063304	vapor
80.000	1.5444	0.23461	4.2625	1.0183	1.6853	80.978	12.479	20.801	527.77	-0.087451	8.5115	0.063568	vapor
80.500	1.5444	0.23315	4.2890	1.0245	1.6957	81.108	12.479	20.801	529.41	-0.087869	8.5445	0.063831	vapor
81.000	1.5444	0.23172	4.3156	1.0308	1.7061	81.237	12.479	20.800	531.04	-0.088279	8.5774	0.064094	vapor
81.500	1.5444	0.23030	4.3422	1.0370	1.7165	81.365	12.479	20.800	532.67	-0.088683	8.6102	0.064356	vapor
82.000	1.5444	0.22890	4.3688	1.0432	1.7269	81.492	12.479	20.800	534.29	-0.089081	8.6430	0.064618	vapor
82.500	1.5444	0.22751	4.3953	1.0495	1.7373	81.618	12.479	20.800	535.91	-0.089472	8.6758	0.064879	vapor
83.000	1.5444	0.22615	4.4219	1.0557	1.7477	81.744	12.479	20.799	537.52	-0.089856	8.7084	0.065140	vapor
83.500	1.5444	0.22479	4.4485	1.0620	1.7581	81.869	12.479	20.799	539.13	-0.090234	8.7410	0.065400	vapor
84.000	1.5444	0.22346	4.4751	1.0682	1.7685	81.993	12.479	20.799	540.73	-0.090607	8.7736	0.065660	vapor
84.500	1.5444	0.22214	4.5017	1.0744	1.7789	82.117	12.479	20.799	542.33	-0.090973	8.8061	0.065920	vapor
85.000	1.5444	0.22084	4.5282	1.0807	1.7893	82.239	12.478	20.799	543.92	-0.091333	8.8385	0.066179	vapor
85.500	1.5444	0.21955	4.5548	1.0869	1.7997	82.361	12.478	20.798	545.51	-0.091688	8.8708	0.066438	vapor
86.000	1.5444	0.21827	4.5814	1.0932	1.8101	82.483	12.478	20.798	547.10	-0.092037	8.9031	0.066696	vapor
86.500	1.5444	0.21702	4.6080	1.0994	1.8205	82.603	12.478	20.798	548.68	-0.092380	8.9354	0.066954	vapor
87.000	1.5444	0.21577	4.6345	1.1056	1.8309	82.723	12.478	20.798	550.25	-0.092718	8.9675	0.067211	vapor
87.500	1.5444	0.21454	4.6611	1.1119	1.8413	82.842	12.478	20.798	551.82	-0.093050	8.9996	0.067468	vapor
88.000	1.5444	0.21333	4.6877	1.1181	1.8517	82.961	12.478	20.797	553.39	-0.093378	9.0317	0.067724	vapor
88.500	1.5444	0.21212	4.7143	1.1244	1.8621	83.078	12.478	20.797	554.95	-0.093700	9.0637	0.067980	vapor
89.000	1.5444	0.21093	4.7408	1.1306	1.8725	83.196	12.478	20.797	556.51	-0.094017	9.0957	0.068236	vapor
89.500	1.5444	0.20976	4.7674	1.1369	1.8829	83.312	12.478	20.797	558.06	-0.094329	9.1275	0.068491	vapor
90.000	1.5444	0.20860	4.7940	1.1431	1.8933	83.428	12.478	20.797	559.61	-0.094636	9.1594	0.068746	vapor
90.500	1.5444	0.20745	4.8205	1.1493	1.9037	83.543	12.478	20.796	561.15	-0.094939	9.1911	0.069000	vapor
91.000	1.5444	0.20631	4.8471	1.1556	1.9141	83.658	12.478	20.796	562.69	-0.095237	9.2229	0.069254	vapor
91.500	1.5444	0.20518	4.8737	1.1618	1.9245	83.772	12.478	20.796	564.23	-0.095530	9.2545	0.069508	vapor
92.000	1.5444	0.20407	4.9003	1.1681	1.9349	83.885	12.478	20.796	565.76	-0.095819	9.2861	0.069761	vapor
92.500	1.5444	0.20297	4.9268	1.1743	1.9453	83.998	12.478	20.796	567.29	-0.096103	9.3177	0.070014	vapor
93.000	1.5444	0.20188	4.9534	1.1805	1.9557	84.110	12.478	20.796	568.81	-0.096383	9.3492	0.070267	vapor
93.500	1.5444	0.20080	4.9800	1.1868	1.9661	84.221	12.478	20.796	570.33	-0.096659	9.3807	0.070519	vapor
94.000	1.5444	0.19974	5.0066	1.1930	1.9765	84.332	12.478	20.795	571.84	-0.096931	9.4121	0.070770	vapor
94.500	1.5444	0.19868	5.0331	1.1992	1.9868	84.443	12.477	20.795	573.35	-0.097198	9.4434	0.071022	vapor
95.000	1.5444	0.19764	5.0597	1.2055	1.9972	84.552	12.477	20.795	574.86	-0.097462	9.4747	0.071272	vapor
95.500	1.5444	0.19661	5.0863	1.2117	2.0076	84.662	12.477	20.795	576.36	-0.097721	9.5060	0.071523	vapor
96.000	1.5444	0.19559	5.1128	1.2180	2.0180	84.770	12.477	20.795	577.86	-0.097976	9.5372	0.071773	vapor
96.500	1.5444	0.19457	5.1394	1.2242	2.0284	84.878	12.477	20.795	579.36	-0.098228	9.5683	0.072023	vapor
97.000	1.5444	0.19357	5.1660	1.2304	2.0388	84.986	12.477	20.795	580.85	-0.098476	9.5994	0.072272	vapor
97.500	1.5444	0.19258	5.1926	1.2367	2.0492	85.093	12.477	20.794	582.34	-0.098720	9.6305	0.072521	vapor
98.000	1.5444	0.19160	5.2191	1.2429	2.0596	85.199	12.477	20.794	583.82	-0.098961	9.6615	0.072770	vapor
98.500	1.5444	0.19063	5.2457	1.2492	2.0700	85.305	12.477	20.794	585.30	-0.099198	9.6925	0.073018	vapor
99.000	1.5444	0.18967	5.2723	1.2554	2.0804	85.410	12.477	20.794	586.78	-0.099431	9.7234	0.073266	vapor
99.500	1.5444	0.18872	5.2988	1.2616	2.0908	85.515	12.477	20.794	588.25	-0.099662	9.7542	0.073514	vapor
100.00	1.5444	0.18778	5.3254	1.2679	2.1012	85.619	12.477	20.794	589.72	-0.099888	9.7851	0.073761	vapor
100.50	1.5444	0.18685	5.3520	1.2741	2.1116	85.723	12.477	20.794	591.19	-0.10011	9.8060	0.074008	vapor
101.00	1.5444	0.18592	5.3785	1.2804	2.1220	85.826	12.477	20.794	592.65	-0.10033	9.8270	0.074254	vapor
101.50	1.5444	0.18501	5.4051	1.2866	2.1324	85.929	12.477	20.793	594.11	-0.10055	9.8479	0.074500	vapor
102.00	1.5444	0.18411	5.4317	1.2928	2.1428	86.031	12.477	20.793	595.56	-0.10076	9.8689	0.074746	vapor
102.50	1.5444	0.18321	5.4583	1.2991	2.1532	86.132	12.477	20.793	597.01	-0.10097	9.8898	0.074992	vapor
103.00	1.5444	0.18232	5.4848	1.3053	2.1636	86.234	12.477	20.793	598.46	-0.10118	9.9107	0.075237	vapor
103.50	1.5444	0.18144	5.5114	1.3116	2.1740	86.334	12.477	20.793	599.90	-0.10138	9.9317	0.075481	vapor
104.00	1.5444	0.18057	5.5380	1.3178	2.1844	86.435	12.477	20.793	601.34	-0.10159	9.9526	0.075726	vapor
104.50	1.5444	0.17971	5.5645	1.3240	2.1948	86.534	12.477	20.793	602.78	-0.10178	9.9735	0.075970	vapor
105.00	1.5444	0.17886	5.5911	1.3303	2.2052	86.634	12.477	20.793	604.22	-0.10198	9.9944	0.076214	vapor
105.50	1.5444	0.17801	5.6177	1.3365	2.2156	86.732	12.477	20.793	605.65	-0.10217	10.015	0.076457	vapor
106.00	1.5444	0.17717	5.6442	1.3427	2.2260	86.831	12.477	20.792	607.07	-0.10236	10.036	0.076700	vapor
106.50	1.5444	0.17634	5.6708	1.3490	2.2364	86.928	12.477	20.792	608.50	-0.10255	10.057	0.076943	vapor
107.00	1.5444	0.17552	5.6974	1.3552	2.2468	87.026	12.477	20.792	609.92	-0.10274	10.078	0.077185	vapor
107.50	1.5444	0.17470	5.7239	1.3615	2.2572	87.123	12.476	20.792	611.33	-0.10292	10.099	0.077428	vapor
108.00	1.5444	0.17390	5.7505	1.3677	2.2676	87.219	12.476	20.792	612.75	-0.10310	10.120	0.077669	vapor
