Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.6124	33.150	0.030166	-0.0085179	-0.0035895	-1.3385	9.8698	16.318	201.20	-0.16421	3.4766	0.019069	liquid
4.5000	1.6124	30.415	0.032879	0.00074604	0.0061177	0.93982	10.323	23.876	174.09	0.019668	3.1212	0.019142	liquid
4.7802	1.6124	27.635	0.036186	0.0086366	0.014548	2.7525	10.616	41.087	148.36	0.24570	2.8269	0.018915	liquid
4.7802	1.6124	7.2571	0.13780	0.056369	0.078881	16.211	12.467	62.651	101.09	1.7767	1.5260	0.011517	vapor
5.0000	1.6124	6.0552	0.16515	0.062770	0.089752	18.437	12.519	41.690	109.19	1.5826	1.5306	0.011371	vapor
5.5000	1.6124	4.7689	0.20969	0.073081	0.10734	21.798	12.482	31.156	122.23	1.3141	1.5931	0.011745	vapor
6.0000	1.6124	4.0547	0.24663	0.081635	0.12193	24.338	12.442	27.648	132.30	1.1408	1.6713	0.012301	vapor
6.5000	1.6124	3.5676	0.28030	0.089465	0.13526	26.474	12.422	25.848	140.88	1.0127	1.7530	0.012917	vapor
7.0000	1.6124	3.2039	0.31212	0.096897	0.14789	28.346	12.416	24.752	148.51	0.91179	1.8352	0.013556	vapor
7.5000	1.6124	2.9178	0.34272	0.10408	0.16007	30.027	12.419	24.018	155.48	0.82925	1.9169	0.014194	vapor
8.0000	1.6124	2.6848	0.37247	0.11109	0.17194	31.560	12.426	23.493	161.94	0.75990	1.9976	0.014818	vapor
8.5000	1.6124	2.4902	0.40157	0.11798	0.18359	32.972	12.435	23.101	168.02	0.70046	2.0771	0.015424	vapor
9.0000	1.6124	2.3246	0.43019	0.12478	0.19506	34.283	12.444	22.798	173.77	0.64873	2.1554	0.016013	vapor
9.5000	1.6124	2.1815	0.45841	0.13150	0.20640	35.509	12.452	22.557	179.26	0.60314	2.2323	0.016584	vapor
10.000	1.6124	2.0563	0.48631	0.13817	0.21762	36.661	12.460	22.360	184.52	0.56255	2.3079	0.017140	vapor
10.500	1.6124	1.9457	0.51395	0.14479	0.22876	37.748	12.467	22.198	189.58	0.52610	2.3822	0.017681	vapor
11.000	1.6124	1.8472	0.54137	0.15138	0.23983	38.777	12.473	22.061	194.46	0.49314	2.4554	0.018210	vapor
11.500	1.6124	1.7587	0.56860	0.15793	0.25083	39.755	12.478	21.945	199.18	0.46314	2.5273	0.018726	vapor
12.000	1.6124	1.6788	0.59567	0.16445	0.26177	40.687	12.483	21.845	203.77	0.43570	2.5981	0.019231	vapor
12.500	1.6124	1.6062	0.62260	0.17095	0.27267	41.577	12.487	21.758	208.23	0.41048	2.6678	0.019726	vapor
13.000	1.6124	1.5399	0.64940	0.17743	0.28353	42.429	12.490	21.682	212.58	0.38721	2.7365	0.020212	vapor
13.500	1.6124	1.4791	0.67610	0.18390	0.29436	43.246	12.493	21.614	216.81	0.36566	2.8041	0.020689	vapor
14.000	1.6124	1.4231	0.70270	0.19034	0.30515	44.031	12.495	21.555	220.95	0.34563	2.8707	0.021158	vapor
14.500	1.6124	1.3713	0.72921	0.19678	0.31591	44.786	12.497	21.501	225.00	0.32697	2.9365	0.021619	vapor
15.000	1.6124	1.3234	0.75565	0.20319	0.32665	45.514	12.499	21.453	228.97	0.30953	3.0013	0.022074	vapor
15.500	1.6124	1.2787	0.78202	0.20960	0.33737	46.217	12.500	21.410	232.86	0.29321	3.0652	0.022522	vapor
16.000	1.6124	1.2371	0.80832	0.21600	0.34806	46.896	12.501	21.371	236.67	0.27788	3.1284	0.022964	vapor
16.500	1.6124	1.1982	0.83457	0.22239	0.35874	47.553	12.502	21.335	240.42	0.26347	3.1907	0.023401	vapor
17.000	1.6124	1.1617	0.86077	0.22877	0.36940	48.190	12.502	21.303	244.10	0.24990	3.2522	0.023832	vapor
17.500	1.6124	1.1275	0.88693	0.23514	0.38004	48.807	12.503	21.273	247.71	0.23708	3.3130	0.024258	vapor
18.000	1.6124	1.0952	0.91304	0.24150	0.39067	49.406	12.503	21.246	251.27	0.22497	3.3731	0.024679	vapor
18.500	1.6124	1.0648	0.93911	0.24786	0.40129	49.988	12.503	21.221	254.78	0.21351	3.4325	0.025096	vapor
19.000	1.6124	1.0361	0.96514	0.25421	0.41189	50.553	12.503	21.198	258.23	0.20264	3.4913	0.025508	vapor
19.500	1.6124	1.0089	0.99114	0.26056	0.42249	51.104	12.503	21.177	261.63	0.19232	3.5493	0.025917	vapor
20.000	1.6124	0.98317	1.0171	0.26690	0.43307	51.639	12.503	21.157	264.98	0.18251	3.6068	0.026321	vapor
20.500	1.6124	0.95872	1.0431	0.27323	0.44364	52.162	12.503	21.139	268.29	0.17318	3.6637	0.026722	vapor
21.000	1.6124	0.93547	1.0690	0.27956	0.45421	52.671	12.503	21.122	271.55	0.16429	3.7199	0.027120	vapor
21.500	1.6124	0.91335	1.0949	0.28589	0.46477	53.168	12.503	21.106	274.78	0.15582	3.7757	0.027514	vapor
22.000	1.6124	0.89227	1.1207	0.29221	0.47531	53.653	12.503	21.091	277.96	0.14773	3.8308	0.027904	vapor
22.500	1.6124	0.87215	1.1466	0.29853	0.48586	54.127	12.502	21.077	281.10	0.14000	3.8855	0.028292	vapor
23.000	1.6124	0.85294	1.1724	0.30484	0.49639	54.590	12.502	21.064	284.21	0.13261	3.9396	0.028677	vapor
23.500	1.6124	0.83456	1.1982	0.31116	0.50692	55.043	12.502	21.052	287.28	0.12554	3.9933	0.029059	vapor
24.000	1.6124	0.81698	1.2240	0.31747	0.51744	55.486	12.501	21.041	290.31	0.11877	4.0464	0.029438	vapor
24.500	1.6124	0.80013	1.2498	0.32377	0.52796	55.919	12.501	21.030	293.31	0.11228	4.0991	0.029814	vapor
25.000	1.6124	0.78397	1.2756	0.33008	0.53847	56.344	12.501	21.020	296.28	0.10605	4.1513	0.030188	vapor
25.500	1.6124	0.76845	1.3013	0.33638	0.54898	56.760	12.500	21.010	299.22	0.10007	4.2031	0.030560	vapor
26.000	1.6124	0.75355	1.3270	0.34267	0.55948	57.168	12.500	21.001	302.13	0.094328	4.2545	0.030929	vapor
26.500	1.6124	0.73922	1.3528	0.34897	0.56998	57.568	12.499	20.993	305.01	0.088808	4.3054	0.031296	vapor
27.000	1.6124	0.72543	1.3785	0.35526	0.58048	57.960	12.499	20.985	307.86	0.083498	4.3559	0.031660	vapor
27.500	1.6124	0.71216	1.4042	0.36156	0.59097	58.345	12.499	20.977	310.68	0.078388	4.4061	0.032022	vapor
28.000	1.6124	0.69936	1.4299	0.36785	0.60145	58.723	12.498	20.970	313.48	0.073467	4.4558	0.032383	vapor
28.500	1.6124	0.68702	1.4556	0.37413	0.61194	59.094	12.498	20.963	316.25	0.068725	4.5052	0.032741	vapor
29.000	1.6124	0.67512	1.4812	0.38042	0.62242	59.459	12.498	20.957	319.00	0.064154	4.5542	0.033097	vapor
29.500	1.6124	0.66362	1.5069	0.38670	0.63290	59.817	12.497	20.951	321.72	0.059744	4.6029	0.033451	vapor
30.000	1.6124	0.65251	1.5325	0.39299	0.64337	60.169	12.497	20.945	324.42	0.055489	4.6512	0.033804	vapor
30.500	1.6124	0.64177	1.5582	0.39927	0.65384	60.515	12.496	20.939	327.09	0.051380	4.6992	0.034154	vapor
31.000	1.6124	0.63139	1.5838	0.40555	0.66431	60.856	12.496	20.934	329.75	0.047410	4.7469	0.034503	vapor
31.500	1.6124	0.62133	1.6094	0.41183	0.67477	61.191	12.496	20.929	332.38	0.043574	4.7942	0.034850	vapor
32.000	1.6124	0.61159	1.6351	0.41810	0.68524	61.520	12.495	20.924	334.98	0.039865	4.8412	0.035195	vapor
32.500	1.6124	0.60216	1.6607	0.42438	0.69570	61.845	12.495	20.920	337.57	0.036277	4.8879	0.035539	vapor
33.000	1.6124	0.59302	1.6863	0.43065	0.70616	62.164	12.495	20.915	340.14	0.032805	4.9343	0.035881	vapor
33.500	1.6124	0.58415	1.7119	0.43693	0.71661	62.479	12.494	20.911	342.69	0.029444	4.9804	0.036221	vapor
34.000	1.6124	0.57554	1.7375	0.44320	0.72707	62.788	12.494	20.907	345.22	0.026189	5.0263	0.036560	vapor
34.500	1.6124	0.56719	1.7631	0.44947	0.73752	63.094	12.494	20.903	347.73	0.023035	5.0718	0.036897	vapor
35.000	1.6124	0.55907	1.7887	0.45574	0.74797	63.394	12.493	20.900	350.22	0.019978	5.1171	0.037233	vapor
35.500	1.6124	0.55119	1.8143	0.46201	0.75842	63.691	12.493	20.896	352.69	0.017014	5.1621	0.037568	vapor
36.000	1.6124	0.54353	1.8398	0.46828	0.76887	63.983	12.493	20.893	355.15	0.014139	5.2068	0.037901	vapor
36.500	1.6124	0.53607	1.8654	0.47455	0.77931	64.271	12.492	20.890	357.59	0.011349	5.2513	0.038232	vapor
