Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.6805	33.220	0.030102	-0.0086131	-0.0034875	-1.3649	9.8582	16.206	202.36	-0.16781	3.4920	0.019115	liquid
4.5000	1.6805	30.543	0.032740	0.00052973	0.0061045	0.88661	10.307	23.401	175.92	0.010001	3.1417	0.019212	liquid
4.8314	1.6805	27.164	0.036814	0.010070	0.016338	3.0725	10.660	45.992	145.08	0.28564	2.7879	0.018963	liquid
4.8314	1.6805	7.6897	0.13004	0.055720	0.077863	15.807	12.415	69.309	101.16	1.7525	1.5588	0.011886	vapor
5.0000	1.6805	6.5683	0.15225	0.061192	0.087115	17.691	12.480	46.172	107.74	1.6011	1.5537	0.011619	vapor
5.5000	1.6805	5.0636	0.19749	0.072136	0.10576	21.256	12.469	32.224	121.42	1.3204	1.6073	0.011864	vapor
6.0000	1.6805	4.2765	0.23384	0.080907	0.12072	23.862	12.434	28.178	131.75	1.1432	1.6824	0.012380	vapor
6.5000	1.6805	3.7499	0.26667	0.088857	0.13426	26.030	12.416	26.180	140.48	1.0133	1.7625	0.012976	vapor
7.0000	1.6805	3.3607	0.29756	0.096367	0.14703	27.924	12.411	24.986	148.21	0.91160	1.8437	0.013605	vapor
7.5000	1.6805	3.0564	0.32718	0.10361	0.15932	29.619	12.415	24.195	155.25	0.82860	1.9246	0.014238	vapor
8.0000	1.6805	2.8095	0.35593	0.11066	0.17127	31.161	12.423	23.634	161.77	0.75901	2.0047	0.014858	vapor
8.5000	1.6805	2.6040	0.38403	0.11758	0.18297	32.581	12.432	23.217	167.89	0.69945	2.0837	0.015461	vapor
9.0000	1.6805	2.4294	0.41163	0.12441	0.19450	33.899	12.442	22.895	173.67	0.64766	2.1615	0.016047	vapor
9.5000	1.6805	2.2788	0.43883	0.13116	0.20588	35.130	12.451	22.640	179.19	0.60206	2.2381	0.016616	vapor
10.000	1.6805	2.1473	0.46571	0.13785	0.21715	36.285	12.459	22.433	184.47	0.56149	2.3134	0.017170	vapor
10.500	1.6805	2.0312	0.49232	0.14449	0.22832	37.376	12.466	22.262	189.54	0.52507	2.3874	0.017710	vapor
11.000	1.6805	1.9278	0.51871	0.15109	0.23941	38.408	12.473	22.119	194.44	0.49215	2.4603	0.018237	vapor
11.500	1.6805	1.8351	0.54492	0.15766	0.25044	39.388	12.478	21.996	199.18	0.46220	2.5320	0.018752	vapor
12.000	1.6805	1.7515	0.57095	0.16420	0.26141	40.322	12.483	21.891	203.78	0.43481	2.6026	0.019256	vapor
12.500	1.6805	1.6755	0.59685	0.17071	0.27234	41.214	12.487	21.800	208.25	0.40964	2.6721	0.019750	vapor
13.000	1.6805	1.6061	0.62262	0.17720	0.28322	42.067	12.491	21.720	212.60	0.38641	2.7406	0.020235	vapor
13.500	1.6805	1.5425	0.64829	0.18367	0.29406	42.886	12.494	21.650	216.85	0.36491	2.8081	0.020711	vapor
14.000	1.6805	1.4840	0.67386	0.19013	0.30487	43.672	12.496	21.588	220.99	0.34493	2.8746	0.021179	vapor
14.500	1.6805	1.4299	0.69934	0.19657	0.31565	44.428	12.498	21.532	225.05	0.32631	2.9402	0.021640	vapor
15.000	1.6805	1.3798	0.72475	0.20299	0.32640	45.158	12.500	21.482	229.02	0.30891	3.0049	0.022094	vapor
15.500	1.6805	1.3332	0.75009	0.20941	0.33713	45.861	12.501	21.437	232.91	0.29262	3.0687	0.022541	vapor
16.000	1.6805	1.2897	0.77536	0.21581	0.34784	46.541	12.502	21.396	236.73	0.27734	3.1317	0.022983	vapor
16.500	1.6805	1.2491	0.80058	0.22221	0.35852	47.199	12.503	21.359	240.48	0.26296	3.1940	0.023418	vapor
17.000	1.6805	1.2110	0.82575	0.22859	0.36920	47.836	12.503	21.325	244.16	0.24941	3.2554	0.023849	vapor
17.500	1.6805	1.1753	0.85087	0.23497	0.37985	48.454	12.504	21.294	247.78	0.23663	3.3161	0.024275	vapor
18.000	1.6805	1.1416	0.87595	0.24134	0.39049	49.053	12.504	21.266	251.34	0.22454	3.3761	0.024695	vapor
18.500	1.6805	1.1099	0.90099	0.24770	0.40112	49.636	12.504	21.240	254.85	0.21310	3.4355	0.025112	vapor
19.000	1.6805	1.0799	0.92599	0.25406	0.41173	50.202	12.505	21.215	258.30	0.20226	3.4941	0.025524	vapor
19.500	1.6805	1.0516	0.95097	0.26041	0.42233	50.752	12.505	21.193	261.71	0.19196	3.5521	0.025932	vapor
20.000	1.6805	1.0247	0.97591	0.26675	0.43292	51.289	12.505	21.173	265.06	0.18218	3.6095	0.026336	vapor
20.500	1.6805	0.99918	1.0008	0.27309	0.44350	51.811	12.504	21.154	268.37	0.17286	3.6663	0.026737	vapor
21.000	1.6805	0.97494	1.0257	0.27943	0.45408	52.321	12.504	21.136	271.64	0.16400	3.7226	0.027134	vapor
21.500	1.6805	0.95187	1.0506	0.28576	0.46464	52.818	12.504	21.119	274.86	0.15554	3.7782	0.027527	vapor
22.000	1.6805	0.92988	1.0754	0.29208	0.47520	53.303	12.504	21.104	278.04	0.14746	3.8334	0.027918	vapor
22.500	1.6805	0.90890	1.1002	0.29841	0.48574	53.777	12.504	21.089	281.19	0.13975	3.8879	0.028305	vapor
23.000	1.6805	0.88887	1.1250	0.30473	0.49629	54.241	12.503	21.076	284.29	0.13238	3.9420	0.028690	vapor
23.500	1.6805	0.86971	1.1498	0.31104	0.50682	54.694	12.503	21.063	287.36	0.12532	3.9956	0.029071	vapor
24.000	1.6805	0.85138	1.1746	0.31735	0.51735	55.137	12.503	21.051	290.40	0.11856	4.0487	0.029450	vapor
24.500	1.6805	0.83381	1.1993	0.32366	0.52787	55.571	12.502	21.040	293.40	0.11208	4.1014	0.029827	vapor
25.000	1.6805	0.81696	1.2240	0.32997	0.53839	55.996	12.502	21.030	296.37	0.10586	4.1536	0.030200	vapor
25.500	1.6805	0.80079	1.2488	0.33627	0.54890	56.412	12.501	21.020	299.31	0.099891	4.2053	0.030572	vapor
26.000	1.6805	0.78525	1.2735	0.34257	0.55941	56.821	12.501	21.010	302.22	0.094158	4.2566	0.030940	vapor
26.500	1.6805	0.77032	1.2982	0.34887	0.56991	57.221	12.501	21.002	305.10	0.088647	4.3075	0.031307	vapor
27.000	1.6805	0.75595	1.3228	0.35517	0.58041	57.613	12.500	20.993	307.95	0.083345	4.3580	0.031671	vapor
27.500	1.6805	0.74211	1.3475	0.36146	0.59091	57.998	12.500	20.985	310.77	0.078243	4.4082	0.032033	vapor
28.000	1.6805	0.72877	1.3722	0.36775	0.60140	58.376	12.499	20.978	313.57	0.073329	4.4579	0.032394	vapor
